"paper","pinned_arxiv","coefficient_id","coefficient_value","coefficient_scope","displayed_points","policy_models","base_lineages","training_runs","checkpoints","tasks","conditions","coefficient_axis","uncertainty_on_r","selection_rule","source_passage","fact_ambiguity","finite_panel_description","generalization_axis_stated","target_population_defined","new_policy_inference","new_task_inference","crossed_inference","interpretive_note","k_policy","k_task","k_run","k_condition","coder_id","coding_date","judgment_fields"
"A Practical Recipe","2606.10366v1","realm-sensitivity-finetuned","r=0.970","normalized sensitivity values flattened across five fine-tuned policy variants and four perturbation dimensions","20","5","?","?","0","4","4","crossed","none","no","Sec. 4.3; Table 4; Appendix C.4, paper p. 7 and appendix p. 16","The source does not establish independent fine-tuning runs for the five policies.","yes","policy|condition","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","5","4","?","4","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Cosmos-Surg-dVRK","2510.16240v2","manual-pooled","r=0.718","24 policy-checkpoint-task cells: 3 VLA families x 2 training regimes x 4 tasks, manually scored simulation versus dVRK","24","3","?","?","6","4","0","crossed","p-value","no","Sec. 5.2 and 5.2.1; Fig. 4; Table 1, paper pp. 7-9","Two regimes are explicitly checkpoints but independent training runs are not documented.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","4","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Cosmos-Surg-dVRK","2510.16240v2","automated-pooled","r=0.756","same 24 policy-checkpoint-task cells scored by the V-JEPA 2 classifier","24","3","?","?","6","4","0","crossed","p-value","no","Sec. 5.2.2; Fig. 1(b)/7; Table 1, paper pp. 8-9","Same repeated cells as manual panel; classifier averages three generated seeds but seeds are not policy training runs.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","4","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Cosmos-Surg-dVRK","2510.16240v2","manual-task-mean","mean r=0.707","mean of four task-specific policy-checkpoint correlations, six checkpoint values per task","24","3","?","?","6","4","0","mean-of-correlations","none","no","Table 1 and Sec. 5.2.1, paper pp. 7-8","Mean SD appears in Table 2 as 0.71±0.17, but this is dispersion across four task correlations rather than inferential uncertainty on the mean r.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","4","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Cosmos-Surg-dVRK","2510.16240v2","automated-task-mean","mean r=0.666","mean of four task-specific automated policy-checkpoint correlations","24","3","?","?","6","4","0","mean-of-correlations","none","no","Table 1 and Sec. 5.2.2, paper pp. 7-9","Table 2 ±0.04 is cross-task dispersion, not labeled correlation uncertainty.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","4","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Gemini/Veo","2512.10675v2","nominal-eight-policies","r=0.88","eight GROD policy-variant aggregate success rates, each evaluated on 80 scene-instruction combinations","8","8","?","?","0","5","80","policy","none","no","Sec. 3.1-3.2; Figs. 3-4, paper pp. 4-6","The 80 scene-instruction combinations are averaged within each of eight policy points; training lineage/run structure is not given.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","8","5","?","80","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Gemini/Veo","2512.10675v2","single-policy-ood-axes","r=0.86","one selected policy checkpoint compared across four OOD generalization axes","4","1","?","?","0","0","4","condition","none","yes","Sec. 4.1; Fig. 8, paper p. 8","Policy A is selected as strongest nominal policy; whether an unedited baseline point also enters r is not explicit from text.","yes","condition","no","unidentified","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","1","?","?","4","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Gemini/Veo","2512.10675v2","ood-background-policies","r=0.91","eight policy variants under the background OOD condition","8","8","?","?","0","0","1","policy","none","no","Sec. 4.2; Fig. 9, paper p. 8","Policy lineage and run structure are not reported.","yes","policy|condition","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","8","?","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Gemini/Veo","2512.10675v2","ood-small-distractor-policies","r=0.86","eight policy variants under the small-distractor OOD condition","8","8","?","?","0","0","1","policy","none","no","Sec. 4.2; Fig. 9, paper p. 8","Policy lineage and run structure are not reported.","yes","policy|condition","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","8","?","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Gemini/Veo","2512.10675v2","ood-large-distractor-policies","r=0.77","eight policy variants under the large-distractor OOD condition","8","8","?","?","0","0","1","policy","none","no","Sec. 4.2; Fig. 9, paper p. 8","Policy lineage and run structure are not reported.","yes","policy|condition","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","8","?","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Gemini/Veo","2512.10675v2","ood-object-policies","r=0.56","eight policy variants under the object OOD condition","8","8","?","?","0","0","1","policy","none","no","Sec. 4.2; Fig. 9, paper p. 8","Policy lineage and run structure are not reported.","yes","policy|condition","no","unsupported","unidentified","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","8","?","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"DreamDojo","2602.06949v1","fruit-packing-checkpoints","r=0.995","six checkpoints (A-F) from one GR00T N1.5 training trajectory, success averaged over 20 fruit-packing scenes","6","1","1","?","6","1","20","checkpoint","none","no","Sec. 4.7 Policy evaluation; Fig. 5(a), paper pp. 13-14","One training trajectory is strongly implied by different checkpoints from training, but the source does not explicitly label independent-run count; training_runs remains ?.","yes","policy","no","unidentified","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","1","1","?","20","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"dWorldEval","2604.22152v1","libero-single-view","r=0.860","five pi0 checkpoints crossed with three LIBERO suites in the single-view panel","15","1","1","?","5","3","0","checkpoint|task","none","no","Sec. 4.2-4.3; Figs. 6-7(a), paper pp. 7-8","Point count follows the five checkpoint legend crossed with three LIBERO suites; no correlation uncertainty is reported.","yes","policy|task","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","3","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"dWorldEval","2604.22152v1","libero-multi-view","r=0.910","five pi0 checkpoints crossed with three LIBERO suites in multi-view","15","1","1","?","5","3","0","checkpoint|task","none","no","Sec. 4.3; Fig. 7(b), paper p. 8","Same checkpoint-task repeated structure.","yes","policy|task","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","3","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"dWorldEval","2604.22152v1","robotwin-heterogeneous","r=0.927","heterogeneous pi0, DexVLA, and DP policy/task success-rate cells in RoboTwin","12","3","?","?","0","4","0","crossed","none","no","Sec. 4.3; Fig. 7(c), paper p. 8","The plot visibly contains heterogeneous policy-task cells, but exact task count/cell count is difficult to establish from text; 12 is coded from the plotted marks and legend.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","4","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"dWorldEval","2604.22152v1","real-world-heterogeneous","r=0.918","heterogeneous policy/task success-rate cells on real-world tasks","15","3","?","?","0","5","0","crossed","none","no","Sec. 4.3; Fig. 7(d), paper p. 8","Exact assignment of policies to five real tasks is not enumerated in nearby prose; 15 is coded from the plotted design/marks.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","5","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WEAVER","2606.13672v2","weaver-ft-policy-eval","Pearson=0.863","success-rate cells across five tasks and two policy qualities evaluated in WEAVER-FT","10","2","?","?","0","5","0","crossed","none","no","Sec. 5.2.1; Fig. 6; Appendix Table 8 and Fig. 12, paper p. 11 and appendix p. 22","Main text rounds correlation to 0.87 and labels it rho although the metric is Pearson; Appendix Table 8 gives Pearson 0.863 and Spearman 0.870.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","2","5","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"PlayWorld","2603.09030v3","eighteen-policy-suite","r=0.8766","one real and generated success rate for each of 18 constructed policies spanning diffusion-policy and pi0 fine-tuning variants","18","18","?","?","0","?","0","policy","none","no","Sec. 4.4; Fig. 7, paper pp. 8-9","Tasks are part of policy construction/evaluation but the coefficient caption does not expose whether points are task-specific or policy-aggregated; tasks coded ?.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","18","?","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"EmbodiedSplat","2509.17430v2","polycam-mesh-srcc","SRCC=0.976","six policy-training variants evaluated in simulation and reality using Polycam meshes","6","6","2","?","0","1","1","policy","none","no","Abstract and Fig. 1 overview, paper p. 1; Sec. 4.4, paper p. 6","SRCC is not expanded in the paper passage and may denote a Pearson-style sim-to-real coefficient rather than Spearman; coefficient family is source-ambiguous.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","6","1","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"EmbodiedSplat","2509.17430v2","dn-mesh-srcc","SRCC=0.866","same six variants evaluated with DN meshes","6","6","2","?","0","1","1","policy","none","no","Abstract and Fig. 1 overview, paper p. 1; Sec. 4.4","Coefficient family and run independence are not defined.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","6","1","?","1","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"MolmoSpaces","2602.11337v2","pick-sim-real","R=0.96; rho=0.98 (text)","policy benchmark success versus external real-world performance for pick","8","8","?","?","0","1","752","policy","CI","partial","Sec. 5.2; Fig. 11, paper pp. 12-13","Fig. 11 labels R=0.96 [0.92,0.98] and rho=1.00 [0.93,1.00], whereas prose says Pearson=0.96 and Spearman=0.98; the inconsistency is preserved. External RoboArena tasks and available policy overlap induce selection.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","8","1","?","752","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"MolmoSpaces","2602.11337v2","open-sim-real","R=0.85; rho=0.40","available policy benchmark success versus external real-world performance for open","4","4","?","?","0","1","?","policy","CI","partial","Sec. 5.2; Fig. 11, paper pp. 12-13","Fewer real episodes and policy points are available; exact point count is coded as four from the visible plot/legend subset but not stated in prose.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","4","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"MolmoSpaces","2602.11337v2","close-sim-real","R=0.97; rho=1.00","available policy benchmark success versus external real-world performance for close","3","3","?","?","0","1","?","policy","CI","partial","Sec. 5.2; Fig. 11, paper pp. 12-13","Exact point count is coded as three from the visible plot; source does not state it in prose.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Mem-World","2606.18960v2","memworld-five-task","r=0.97","Mem-World versus real success rates across five designed tasks for post-trained pi0 and pi0.5 policy evaluations","10","2","?","?","0","5","0","crossed","p-value","no","Sec. 4.2; Fig. 4, paper pp. 6-7","Text says across five tasks after introducing two policies; figure extraction does not make fully clear whether both policies supply points, so 10 is judgment-coded from the design.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","2","5","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Mem-World","2606.18960v2","ctrlworld-five-task","r=0.85","same policy-task cells evaluated in Ctrl-World","10","2","?","?","0","5","0","crossed","p-value","no","Sec. 4.2; Fig. 4, paper pp. 6-7","Same point-count ambiguity as Mem-World panel.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","2","5","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Colosseum V2","2605.27759v1","hardware-perturbation-spearman","mean Spearman=0.916","mean of three task-specific rank correlations across six perturbation markers (including none)","18","?","?","?","0","3","6","mean-of-correlations","none","no","Sec. V-F; Fig. 7, paper pp. 7-8","The caption enumerates six perturbation markers and three tasks but does not clearly identify which trained model(s) supply hardware points.","yes","task|condition","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","3","?","6","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Colosseum V2","2605.27759v1","hardware-perturbation-r2","mean R2=0.798","mean of three task-specific fitted R-squared values for perturbation-induced success-rate changes","18","?","?","?","0","3","6","mean-of-correlations","none","no","Sec. V-F; Fig. 7, paper pp. 7-8","R2 is not Pearson r; task-specific values and model identity are not printed in extracted prose.","yes","task|condition","no","unidentified","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","3","?","6","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"VISER","2605.06311v1","octo-task-panel","r=0.9988","four Octo task success-rate pairs from BridgeDataV2 real and VISER simulation","4","1","?","?","0","4","0","task","none","no","Sec. 6.2; Table 5, paper pp. 8-9","Octo policy variant/training run is not further distinguished.","yes","task","no","unidentified","unsupported","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","1","4","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"VISER","2605.06311v1","openvla-task-panel","r=0.8496","five OpenVLA task success-rate pairs from BridgeDataV2 real and VISER simulation","5","1","?","?","0","5","0","task","none","no","Sec. 6.2; Table 5, paper pp. 8-9","OpenVLA policy variant/training run is not further distinguished.","yes","task","no","unidentified","unsupported","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","1","5","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"OSCAR","2606.04463v2","skeleton-policy-means","r=0.852","seven per-policy mean binary success rates across 65 retained RoboArena sessions","7","7","?","?","0","0","65","policy","none","yes","Sec. 5.4; Table 4; Appendix A.10.1-A.10.2, paper pp. 10 and 16","Sessions were manually retained for camera calibration; correlations use seven policy means, not 455 independent cells.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","7","?","?","65","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"Hi-WM","2604.21741v2","task-level-consistency","r=0.953","six policy-task cells: DP and pi0 crossed with Fold Towel, Push T, and Route Rope","6","2","?","?","0","3","0","crossed","none","no","Sec. 4.2.3; Table 2; Fig. 6(a), paper pp. 8-9","The figure does not state any inferential uncertainty on r.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","2","3","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WM-PolicyEval","2511.11520v3","synthetic-lift","r=0.879","differently trained diffusion-policy variants on RoboMimic lift, simulator versus Cosmos-Predict2-2B evaluation","?","?","?","?","?","1","0","policy|checkpoint","none","no","Synthetic Setting; Table Quantitative Results for Policy Evaluation; correlation figure, paper Sec. IV-A","The paper says policies use CNN or transformer architectures and different training steps but does not state the number of plotted policies/checkpoints; counts remain ?.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WM-PolicyEval","2511.11520v3","synthetic-can","r=0.860","differently trained diffusion-policy variants on RoboMimic can, simulator versus Cosmos-Predict2-2B evaluation","?","?","?","?","?","1","0","policy|checkpoint","none","no","Synthetic Setting; Table Quantitative Results for Policy Evaluation; correlation figure, paper Sec. IV-A","The paper says policies use CNN or transformer architectures and different training steps but does not state the number of plotted policies/checkpoints; counts remain ?.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WM-PolicyEval","2511.11520v3","synthetic-square","r=0.847","differently trained diffusion-policy variants on RoboMimic square, simulator versus Cosmos-Predict2-2B evaluation","?","?","?","?","?","1","0","policy|checkpoint","none","no","Synthetic Setting; Table Quantitative Results for Policy Evaluation; correlation figure, paper Sec. IV-A","The paper says policies use CNN or transformer architectures and different training steps but does not state the number of plotted policies/checkpoints; counts remain ?.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WM-PolicyEval","2511.11520v3","synthetic-tool-hang","r=0.833","differently trained diffusion-policy variants on RoboMimic tool-hang, simulator versus Cosmos-Predict2-2B evaluation","?","?","?","?","?","1","0","policy|checkpoint","none","no","Synthetic Setting; Table Quantitative Results for Policy Evaluation; correlation figure, paper Sec. IV-A","The paper says policies use CNN or transformer architectures and different training steps but does not state the number of plotted policies/checkpoints; counts remain ?.","yes","policy","no","unsupported","unidentified","unidentified","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","?","1","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
"WM-PolicyEval","2511.11520v3","bridge-real-world-cosmos","r=0.687","12 task-policy cells: Octo-small, Octo-base, and OpenVLA crossed with four Bridge lift tasks","12","3","?","?","0","4","0","crossed","none","no","Policy Evaluation in Real-World Setup; Fig. Policy Evaluation on Bridge / correlation graph, paper Sec. IV-C","Figure labels Cosmos Pearson 0.687 and IRASim 0.613; policy training-run structure is not given.","yes","policy|task","no","unsupported","unsupported","unsupported","The reported coefficient describes the displayed convenience panel; the source does not define a superpopulation or sampling mechanism supporting the stated broader inference.","3","4","?","?","blind-a","2026-07-23","coefficient_scope|displayed_points|policy_models|base_lineages|training_runs|checkpoints|tasks|conditions|coefficient_axis|selection_rule|finite_panel_description|generalization_axis_stated|new_policy_inference|new_task_inference|crossed_inference|k_policy|k_task|k_run|k_condition"
