"paper","pinned_arxiv","coder_id","coding_date","coefficient_id","coefficient_scope","displayed_points","policy_models","base_lineages","training_runs","checkpoints","tasks","conditions","coefficient_axis","uncertainty_on_r","selection_rule","source_passage","fact_ambiguity","finite_panel_description","generalization_axis_stated","target_population_defined","new_policy_inference","new_task_inference","crossed_inference","interpretive_note","k_policy","k_task","k_run","k_condition","judgment_fields"
"Colosseum V2","2605.27759v1","blind-b","2026-07-23","hardware-perturbation-mean","Mean of three task-specific Spearman correlations across six perturbation conditions; mean Spearman=0.916","18","1","1","?","0","3","6","mean-of-correlations|condition","none","no","Fig. 7 and §V-F Hardware Validation: average Spearman across three tasks=0.916; markers list None plus five perturbations","The individual task coefficients and any run-level replication are not reported; the three tasks are selected hardware validations.","yes","task|condition","no","unsupported","unsupported","unsupported","The coefficient summarizes three fixed condition-order correlations and does not support new-task inference.","1","3","?","6","training_runs|coefficient_scope|generalization_axis_stated|inference_fields"
"VISER","2605.06311v1","blind-b","2026-07-23","octo-four-tasks","Octo performance on four paired tasks in VISER versus real world; Pearson r=0.9988","4","1","1","?","0","4","0","task","none","no","§6.2 Table 5: four Octo task rows; Ours correlation r=0.9988","The four tasks are selected counterparts and no task sampling population is stated.","yes","task","no","unsupported","unsupported","unsupported","This is a four-task finite-panel coefficient for one policy.","1","4","?","0","training_runs|generalization_axis_stated|inference_fields"
"VISER","2605.06311v1","blind-b","2026-07-23","openvla-five-tasks","OpenVLA performance on five paired tasks in VISER versus real world; Pearson r=0.8496","5","1","1","?","0","5","0","task","none","no","§6.2 Table 5: five OpenVLA task rows; Ours correlation r=0.8496","The five tasks are a designed convenience set; independent policy runs are not documented.","yes","task","no","unsupported","unsupported","unsupported","The coefficient describes one policy on five fixed tasks and does not estimate new-task performance.","1","5","?","0","training_runs|generalization_axis_stated|inference_fields"
"OSCAR","2606.04463v2","blind-b","2026-07-23","skeleton-policy-means","OSCAR skeleton-conditioned per-policy mean binary success rates versus RoboArena across seven policies; Pearson r=0.852","7","7","?","?","0","?","65","policy","none","partial","§5.4 Table 4: 65 sessions × seven policies; skeleton r=0.852; sessions manually retained for camera calibration","The 65 sessions are manually selected and aggregated within policy; policy lineages and independent training runs are not stated.","yes","policy","no","unsupported","unsupported","unsupported","The coefficient is a seven-policy finite comparison after selected-session aggregation.","7","?","?","65","base_lineages|training_runs|tasks|selection_rule|generalization_axis_stated|inference_fields"
"Hi-WM","2604.21741v2","blind-b","2026-07-23","task-level-grid","World-model versus real success rates across two policies and three tasks; Pearson r=0.953","6","2","2","?","0","3","0","policy|task","none","no","§4.2.3 and Fig. 6(a); Table 2 identifies DP and π0 across Fold Towel, Push T, Route Rope","The text does not state independent training runs or a sampling frame for the three tasks.","yes","policy|task","no","unsupported","unsupported","unsupported","The result is descriptive for six named policy-task cells.","2","3","?","0","training_runs|generalization_axis_stated|inference_fields"
"WM-PolicyEval","2511.11520v3","blind-b","2026-07-23","synthetic-lift","Synthetic Lift task across trained policy variants; Pearson r=0.879","?","?","2","?","?","1","0","policy|checkpoint","none","partial","§Synthetic Setting; Table Quantitative Results; Fig. correlation plots: Lift r=0.879; CNN/transformer policies trained for different steps","The exact number of policy/checkpoint points is not enumerated in text or table; run independence is not documented.","yes","policy","no","unsupported","unsupported","unsupported","The finite synthetic policy/checkpoint panel does not identify a new-policy population.","2","1","?","0","displayed_points|policy_models|training_runs|checkpoints|selection_rule|generalization_axis_stated|inference_fields"
"WM-PolicyEval","2511.11520v3","blind-b","2026-07-23","synthetic-can","Synthetic Can task across trained policy variants; Pearson r=0.860","?","?","2","?","?","1","0","policy|checkpoint","none","partial","§Synthetic Setting; Table Quantitative Results: Can r=0.860; policies vary by architecture and training steps","Policy count and independent run count are not stated.","yes","policy","no","unsupported","unsupported","unsupported","This is descriptive for the displayed trained variants on Can.","2","1","?","0","displayed_points|policy_models|training_runs|checkpoints|selection_rule|generalization_axis_stated|inference_fields"
"WM-PolicyEval","2511.11520v3","blind-b","2026-07-23","synthetic-square","Synthetic Square task across trained policy variants; Pearson r=0.847","?","?","2","?","?","1","0","policy|checkpoint","none","partial","§Synthetic Setting; Table Quantitative Results: Square r=0.847","The source does not enumerate the plotted checkpoint count or training-run replication.","yes","policy","no","unsupported","unsupported","unsupported","The result is a finite checkpoint/policy correlation for one synthetic task.","2","1","?","0","displayed_points|policy_models|training_runs|checkpoints|selection_rule|generalization_axis_stated|inference_fields"
"WM-PolicyEval","2511.11520v3","blind-b","2026-07-23","synthetic-tool-hang","Synthetic Tool Hang task across trained policy variants; Pearson r=0.833","?","?","2","?","?","1","0","policy|checkpoint","none","partial","§Synthetic Setting; Table Quantitative Results: Tool Hang r=0.833","Point count and independent policy training runs are not documented.","yes","policy","no","unsupported","unsupported","unsupported","The coefficient describes selected trained variants for Tool Hang.","2","1","?","0","displayed_points|policy_models|training_runs|checkpoints|selection_rule|generalization_axis_stated|inference_fields"
"WM-PolicyEval","2511.11520v3","blind-b","2026-07-23","bridge-real-world","Cosmos world-model predicted versus actual success across three policies and four Bridge tasks; Pearson r=0.687","12","3","3","?","0","4","0","policy|task","none","no","§Policy Evaluation in Real-World Setup; Fig. bridge correlation asset: OCTO-Small, OCTO-Base, OpenVLA; Cosmos Pearson=0.687; four named tasks","Training runs are not documented and the four tasks are selected Bridge setup tasks.","yes","policy|task","no","unsupported","unsupported","unsupported","The 12-cell policy-task comparison is finite-panel evidence without new-policy or new-task inference.","3","4","?","0","training_runs|generalization_axis_stated|inference_fields"
